t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
22.96445084,19.90446281,20.81195068,22.20099068,21.39464188,20.2301445,17.37832069,21.18075562,21.05673981,21.56666565,20.34884644,15.13780403,16.0111351
19.90446281,20.81195068,22.20099068,21.39464188,20.2301445,17.37832069,21.18075562,21.05673981,21.56666565,20.34884644,15.13780403,16.0111351,11.5171032
20.81195068,22.20099068,21.39464188,20.2301445,17.37832069,21.18075562,21.05673981,21.56666565,20.34884644,15.13780403,16.0111351,11.5171032,12.80506325
22.20099068,21.39464188,20.2301445,17.37832069,21.18075562,21.05673981,21.56666565,20.34884644,15.13780403,16.0111351,11.5171032,12.80506325,15.532691
21.39464188,20.2301445,17.37832069,21.18075562,21.05673981,21.56666565,20.34884644,15.13780403,16.0111351,11.5171032,12.80506325,15.532691,14.81067371
20.2301445,17.37832069,21.18075562,21.05673981,21.56666565,20.34884644,15.13780403,16.0111351,11.5171032,12.80506325,15.532691,14.81067371,14.61035919
17.37832069,21.18075562,21.05673981,21.56666565,20.34884644,15.13780403,16.0111351,11.5171032,12.80506325,15.532691,14.81067371,14.61035919,14.19721508
21.18075562,21.05673981,21.56666565,20.34884644,15.13780403,16.0111351,11.5171032,12.80506325,15.532691,14.81067371,14.61035919,14.19721508,14.84198189
21.05673981,21.56666565,20.34884644,15.13780403,16.0111351,11.5171032,12.80506325,15.532691,14.81067371,14.61035919,14.19721508,14.84198189,18.63396835
21.56666565,20.34884644,15.13780403,16.0111351,11.5171032,12.80506325,15.532691,14.81067371,14.61035919,14.19721508,14.84198189,18.63396835,20.86243248
20.34884644,15.13780403,16.0111351,11.5171032,12.80506325,15.532691,14.81067371,14.61035919,14.19721508,14.84198189,18.63396835,20.86243248,21.70048523
15.13780403,16.0111351,11.5171032,12.80506325,15.532691,14.81067371,14.61035919,14.19721508,14.84198189,18.63396835,20.86243248,21.70048523,22.47641754
16.0111351,11.5171032,12.80506325,15.532691,14.81067371,14.61035919,14.19721508,14.84198189,18.63396835,20.86243248,21.70048523,22.47641754,21.94416618
11.5171032,12.80506325,15.532691,14.81067371,14.61035919,14.19721508,14.84198189,18.63396835,20.86243248,21.70048523,22.47641754,21.94416618,22.01470184
12.80506325,15.532691,14.81067371,14.61035919,14.19721508,14.84198189,18.63396835,20.86243248,21.70048523,22.47641754,21.94416618,22.01470184,23.24487305
15.532691,14.81067371,14.61035919,14.19721508,14.84198189,18.63396835,20.86243248,21.70048523,22.47641754,21.94416618,22.01470184,23.24487305,22.92114067
14.81067371,14.61035919,14.19721508,14.84198189,18.63396835,20.86243248,21.70048523,22.47641754,21.94416618,22.01470184,23.24487305,22.92114067,23.78229523
14.61035919,14.19721508,14.84198189,18.63396835,20.86243248,21.70048523,22.47641754,21.94416618,22.01470184,23.24487305,22.92114067,23.78229523,25.41614723
14.19721508,14.84198189,18.63396835,20.86243248,21.70048523,22.47641754,21.94416618,22.01470184,23.24487305,22.92114067,23.78229523,25.41614723,26.80818748
14.84198189,18.63396835,20.86243248,21.70048523,22.47641754,21.94416618,22.01470184,23.24487305,22.92114067,23.78229523,25.41614723,26.80818748,27.41597748
18.63396835,20.86243248,21.70048523,22.47641754,21.94416618,22.01470184,23.24487305,22.92114067,23.78229523,25.41614723,26.80818748,27.41597748,24.77238083
20.86243248,21.70048523,22.47641754,21.94416618,22.01470184,23.24487305,22.92114067,23.78229523,25.41614723,26.80818748,27.41597748,24.77238083,24.27165794
21.70048523,22.47641754,21.94416618,22.01470184,23.24487305,22.92114067,23.78229523,25.41614723,26.80818748,27.41597748,24.77238083,24.27165794,25.54322052
22.47641754,21.94416618,22.01470184,23.24487305,22.92114067,23.78229523,25.41614723,26.80818748,27.41597748,24.77238083,24.27165794,25.54322052,24.81208229
21.94416618,22.01470184,23.24487305,22.92114067,23.78229523,25.41614723,26.80818748,27.41597748,24.77238083,24.27165794,25.54322052,24.81208229,26.30760193
22.01470184,23.24487305,22.92114067,23.78229523,25.41614723,26.80818748,27.41597748,24.77238083,24.27165794,25.54322052,24.81208229,26.30760193,26.40729141
23.24487305,22.92114067,23.78229523,25.41614723,26.80818748,27.41597748,24.77238083,24.27165794,25.54322052,24.81208229,26.30760193,26.40729141,25.87429047
22.92114067,23.78229523,25.41614723,26.80818748,27.41597748,24.77238083,24.27165794,25.54322052,24.81208229,26.30760193,26.40729141,25.87429047,25.23749542
23.78229523,25.41614723,26.80818748,27.41597748,24.77238083,24.27165794,25.54322052,24.81208229,26.30760193,26.40729141,25.87429047,25.23749542,26.14913177
25.41614723,26.80818748,27.41597748,24.77238083,24.27165794,25.54322052,24.81208229,26.30760193,26.40729141,25.87429047,25.23749542,26.14913177,25.24220657
26.80818748,27.41597748,24.77238083,24.27165794,25.54322052,24.81208229,26.30760193,26.40729141,25.87429047,25.23749542,26.14913177,25.24220657,24.71478462
27.41597748,24.77238083,24.27165794,25.54322052,24.81208229,26.30760193,26.40729141,25.87429047,25.23749542,26.14913177,25.24220657,24.71478462,23.3962059
24.77238083,24.27165794,25.54322052,24.81208229,26.30760193,26.40729141,25.87429047,25.23749542,26.14913177,25.24220657,24.71478462,23.3962059,24.23863411
24.27165794,25.54322052,24.81208229,26.30760193,26.40729141,25.87429047,25.23749542,26.14913177,25.24220657,24.71478462,23.3962059,24.23863411,24.41620827
